etiqueta,hu1,hu2,hu3,hu4,hu5,hu6,hu7
1,0.16230067590422048,0.0002959277423781259,2.4167879284820343e-06,7.369256500924678e-07,-5.495195165195394e-13,9.976717532957741e-09,8.156061082339993e-13
1,0.16361208519224718,0.0007623948740356091,2.7071583863019485e-05,1.2201445108689197e-06,-1.4313705457862552e-12,-6.942843565896175e-09,-6.8648765701560345e-12
1,0.160914886103449,0.00039148678293447287,1.2305952380350584e-05,5.305727162993876e-08,-2.1837094877380923e-14,-4.798727837674803e-10,3.689390434115564e-14
1,0.1619508620159702,0.00013885288683839378,1.1464670157277332e-05,7.892870216014696e-07,-2.0797088834015882e-12,4.1064432998821445e-09,1.1454475026882652e-12
1,0.16112541676898595,0.0004198182735644213,1.5892652809620942e-05,5.4823694137060264e-08,-4.244029434979162e-14,-1.024028583295418e-09,-2.8593969499892856e-14
1,0.16255474123611963,0.00023721771984278004,2.3826347867662036e-05,6.406628352198483e-07,-2.3279595136857915e-12,5.26214857886524e-09,-9.197636172211095e-13
1,0.303907682325512,0.002679320119092282,0.00065274043399217,0.0009543237750105968,3.0599483464623014e-07,-5.349988675277036e-06,-6.882490151476312e-07
1,0.16424958001370732,0.0012480525788081626,3.112875668173174e-05,4.124714172084292e-07,-9.76514992458466e-13,-1.0461719274949953e-08,1.1094479352398597e-12
1,0.2089591761217287,0.016076729830629456,0.0005250370702674971,5.5574402830950095e-05,6.668465806939079e-09,4.231698106987339e-06,-6.756489660003025e-09
1,0.2166198245205353,0.013935760540136101,0.0003852549854455039,0.00018940568196375678,4.6518037391840587e-08,2.0857941080547972e-05,2.130297692611504e-08
1,0.16163714603689391,0.00048001437230288233,5.485396487987082e-05,3.612434073896784e-07,-1.5683363213163334e-12,-7.646574051200464e-09,3.5524342532088273e-13
1,0.16035814020060707,7.380779673184567e-05,8.719602325003664e-06,1.2127394614407508e-08,3.8772280147395635e-15,2.722129460268159e-12,7.208099520072741e-16
1,0.16361064907724368,0.0005192955290549955,7.777916829178779e-05,2.4393674877855458e-06,-1.0450065222446589e-11,-1.267380516275547e-08,-3.193428967848512e-11
1,0.16133672298464366,0.00037473522555909886,3.662467526787159e-05,1.7300541847668694e-07,-3.4717157850416783e-13,-2.665002129182644e-09,2.629104745279802e-13
1,0.16178757428065504,0.0001081255582223505,2.174982745729797e-05,7.182369327539279e-07,-2.8237451676589066e-12,2.3336108645904697e-09,-2.9163745494878613e-13
2,0.23433432254082442,0.027871178196284645,6.900111530410675e-06,3.080886508743492e-07,2.3542236551166134e-13,2.8058744432526136e-08,3.8256852539714026e-13
2,0.25147199746844906,0.036450846050482356,1.8170961449480736e-05,3.066576738587273e-06,2.1784134500766816e-11,5.211940524004557e-07,7.032872440317404e-12
2,0.2630677922691432,0.04248047878085853,2.7538083685884367e-05,7.398063953277761e-06,1.0518199480271759e-10,1.4986864306380937e-06,9.331885833299737e-12
2,0.2509114458142863,0.03624409299975358,5.9023345147826315e-05,1.2322915586416732e-05,3.307055777287011e-10,2.324984491855107e-06,3.291571700039864e-11
2,0.2299725410942199,0.02564314434839819,2.1671116670177064e-06,2.2762489102364247e-07,1.1351044167903841e-13,2.3327215235220586e-08,-1.125796808119647e-13
2,0.3447285990430506,0.08901334439188006,0.0023142776078141324,0.00021601868603788766,-1.5048035341201365e-07,-6.391224764783954e-05,2.615918238473965e-08
2,0.23227086413383013,0.027080049752675167,2.6080033780662882e-05,2.405667018157347e-06,1.8871940155775523e-11,3.9186296332004824e-07,2.634428258785406e-12
2,0.24693986411588312,0.03431861619969266,4.704638601276627e-05,8.312466403865501e-06,1.5893380271688026e-10,1.4431829867724823e-06,-4.19756146008294e-11
2,0.20951461765085738,0.016830856610503642,0.0002808582444820807,4.5401992677661284e-05,3.5367563856067527e-09,3.4830605497949418e-06,3.711683262672207e-09
2,0.2517726896645771,0.03678726374599559,5.323932898228335e-05,1.1275223521753838e-05,2.7220745789214914e-10,2.0944060221439107e-06,-4.709324688669891e-11
2,0.24159157519691213,0.03157800757692024,8.149977059315243e-06,6.253864337513896e-07,-4.517416158929643e-13,-3.600160227928926e-08,1.337670744890014e-12
3,0.3081005421559601,0.06531217497093945,0.00021830685803065172,4.695877826394484e-05,4.447340134569517e-09,8.556303497763605e-06,1.6813252649653758e-09
3,0.3041083558950774,0.059674486837795464,0.00012844581649377543,2.0102446364621807e-05,9.834344062953339e-10,3.402697572381261e-06,2.762152986833072e-10
3,0.3126782807047809,0.06575188292269812,0.00013952286352763693,2.104554789448504e-05,9.90956231237671e-10,2.55446673403848e-06,-5.644048765084371e-10
3,0.2995808253937644,0.05773019913102465,0.00025153909344692625,9.067246802870324e-05,1.3489285333652221e-08,2.166034400760634e-05,-2.3563451945360748e-09
3,0.30714495952943643,0.06400756064812299,0.0003762601954137378,8.674170853065288e-05,1.5019519596211854e-08,1.7075005251188205e-05,4.470153070567479e-09
